Club	Season	Division	League	League	FA Cup	FA Cup	Total	Total
Club	Season	Division	Apps	Goals	Apps	Goals	Apps	Goals
Sheffield United	1945–46	-	0	0	1	0	1	0
Bournemouth & Boscombe Athletic	1946–47	Third Division South	8	3	0	0	8	3
Lincoln City	1946–47	Third Division North	25	15	5	2	30	17
Lincoln City	1947–48	Third Division North	41	32	1	0	42	32
Lincoln City	1948–49	Second Division	19	8	0	0	19	8
Lincoln City	Total	Total	85	55	6	2	91	57
Oldham Athletic	1948–49	Third Division North	7	3	0	0	7	3
Oldham Athletic	1949–50	Third Division North	7	0	0	0	7	0
Oldham Athletic	Total	Total	14	3	0	0	14	3
Career Total	Career Total	Career Total	107	61	7	2	114	63
