Year	Film	Director	Role	Country	Notes
2009	Third Person Singular Number	Mostofa Sarwar Farooki	Ruba Haque	Bangladesh	Meril Prothom Alo Awards in Best Film Actress (Critics') category
2010	Runway	Tareque Masud	Selina	Bangladesh	Guest appearance
2012	Television	Mostofa Sarwar Farooki	Kohinoor	Bangladesh	Bangladesh's submission to Academy Awards
2016	Rana Pagla: The Mental	Shamim Ahamed Roni	Simi	Bangladesh	-
2016	Ostitto	Anonno Mamun	Pori	Bangladesh	National Film Award for Best Actress
2017	Doob: No Bed of Roses	Mostofa Sarwar Farooki	Saberi	Bangladesh, India	Meril Prothom Alo Awards in Best Film Actress(Popular) - Bangladesh's submission to 91st Academy Awards
2017	Haldaa	Tauquir Ahmed	Hasu	Bangladesh	-
2018	Rupkotha	Golam Muktadir Shaan	N/A	Bangladesh	A Bioscope Original production
2019	Trap	Tanim Parvez	N/A	Bangladesh	Iflix original short film
2019	Fagun Haway	Tauquir Ahmed	Deepti	Bangladesh	First Bangladeshi film based on the 1952 Language Movement
2019	Kintu Jodi Emon Hoto?	Emran Emon	Bushra	Bangladesh	First interactive short film in Bangladesh
2019	Holudboni	Mukul Roy Chaudhuri & Taher Shipon	Anu	India, Bangladesh	Post Production
2019	Saturday Afternoon	Mostafa Sarwar Farooki	N/A	Bangladesh, Germany, Russia	Inspired by the terror attack incident of 1st July, 2014 at Holey Artisan Bakery, Gulshan.
2019	Mayaboti	Arun Chowdhury	Maya	Bangladesh	Post production
2019	Sincerely Yours, Dhaka	Abdullah Al Noor, Golam Kibria Farooki, Krishnendu Chattopadhyay, Mahmudul Islam, Md Rabiul Alam, Mir Mukarram Hossain, Nuhash Humayun, Rahat Rahman, Syed Ahmed Shawki, Syed Saleh Ahmed Sobhan and Tanvir Ahsan	Juthi	Bangladesh	First Bangladeshi Anthology film consisting of 11 vignettes by 11 Bangladeshi filmmakers
2019	Boba Rohosshya	Abhishek Bagchi	N/A	India	Pre production
