state	1990 - 95	1996 - 00	2001 - 05	2006 - 10
bihar	0.41	0.3	0.43	0.88
gujarat	0.48	0.57	0.64	0.69
andhra pradesh	0.53	0.73	0.55	0.61
punjab	0.32	0.46	0.46	0.6
jammu & kashmir	0.13	0.32	0.17	0.4
haryana	0.33	0.6	0.31	0.37
himachal pradesh	0.26	0.14	0.23	0.35
tamil nadu	0.19	0.2	0.24	0.29
madhya pradesh	0.23	0.22	0.31	0.29
karnataka	0.24	0.19	0.2	0.29
rajasthan	0.27	0.23	0.26	0.27
kerala	0.16	0.2	0.22	0.27
maharashtra	0.45	0.29	0.27	0.26
uttar pradesh	0.11	0.11	0.16	0.21
orissa	0.22	0.16	0.15	0.19
assam	0.21	0.02	0.14	0.17
west bengal	0.11	0.08	0.03	0.01
