rank	country (or dependent territory)	july 1 , 2013 projection	% of pop	average relative annual growth (%)	average absolute annual growth
1	germany	80640000.0	15.99	0.24	196000
2	united kingdom	64231000.0	12.73	0.73	465000
3	france	63820000.0	12.65	0.49	309000
4	italy	59789000.0	11.85	0.35	206000
5	spain	46958000.0	9.31	- 0.43	- 205000
6	poland	38548000.0	7.64	0.08	29000
7	romania	19858000.0	3.94	- 0.77	- 155000
8	netherlands	16795000.0	3.33	0.33	55000
9	belgium	11162000.0	2.21	0.66	73000
10	greece	10758000.0	2.13	- 0.13	- 14000
11	portugal	10609000.0	2.1	0.19	20000
12	czech republic	10519000.0	2.09	0.23	24000
13	hungary	9894000.0	1.96	- 0.25	- 25000
14	sweden	9595000.0	1.9	0.76	72000
15	austria	8477000.0	1.68	0.61	51000
16	bulgaria	7261000.0	1.44	- 0.59	- 43000
17	denmark	5612000.0	1.11	0.45	25000
18	finland	5436000.0	1.08	0.44	24000
19	slovakia	5413000.0	1.07	0.15	8000
20	ireland	4662000.0	0.92	1.35	62000
21	croatia	4258000.0	0.84	- 0.35	- 15000
22	lithuania	2956000.0	0.59	- 1.30	- 39000
23	slovenia	2062000.0	0.41	0.24	5000
24	latvia	2011000.0	0.4	- 1.23	- 25000
25	estonia	1283000.0	0.25	- 0.62	- 8000
26	cyprus	888000.0	0.18	1.95	17000
27	luxembourg	542000.0	0.11	1.88	10000
28	malta	419000.0	0.08	0.48	2000
align = left|total	504456000	100.0	0.22	1124000	311
