Club	Season	League	League	League	National Cup	National Cup	League Cup	League Cup	Europe	Europe	Total	Total
Club	Season	Division	Apps	Goals	Apps	Goals	Apps	Goals	Apps	Goals	Apps	Goals
Liverpool	1990–91	First Division	2	0	1	0	0	0	0	0	3	0
Liverpool	1991–92	First Division	30	5	8	3	5	3	8	0	51	11
Liverpool	1992–93	Premier League	31	4	1	0	5	2	3	1	40	7
Liverpool	1993–94	Premier League	30	2	2	0	2	0	0	0	34	2
Liverpool	1994–95	Premier League	40	7	7	0	8	2	0	0	55	9
Liverpool	1995–96	Premier League	38	6	7	2	4	1	4	1	53	10
Liverpool	1996–97	Premier League	37	7	2	0	4	2	8	1	51	10
Liverpool	1997–98	Premier League	36	11	1	0	5	0	4	1	46	12
Liverpool	1998–99	Premier League	28	4	0	0	0	0	3	1	31	5
Liverpool	Liverpool Total	Liverpool Total	272	46	29	5	33	10	30	5	364	66
Real Madrid	1999–2000	La Liga	30	3	10	0	0	0	7	1	47	4
Real Madrid	2000–01	La Liga	26	2	6	0	0	0	10	0	42	2
Real Madrid	2001–02	La Liga	23	2	2	0	0	0	13	2	38	4
Real Madrid	2002–03	La Liga	15	1	4	1	0	0	6	2	25	4
Real Madrid	Real Madrid Total	Real Madrid Total	94	8	22	1	0	0	36	5	152	14
Manchester City	2003–04	Premier League	22	0	3	0	1	0	4	0	30	0
Manchester City	2004–05	Premier League	13	0	1	0	0	0	0	0	14	0
Manchester City	Manchester City Total	Manchester City Total	35	0	4	0	1	0	4	0	44	0
Career Total	Career Total	Career Total	401	54	52	6	37	10	70	10	560	80
