Age Group	Both Gender	%	Male	%	Female	%
All Ages	32,512	100.00	16,390	50.41	16, 122	49.59
Under 1	1,053	3.24	531	3.24	522	3.24
1 - 2	1,281	3.94	654	3.99	627	3.89
3 - 4	1,889	5.81	970	5.92	919	5.70
5 - 6	1,892	5.82	990	6.04	902	5.60
7 - 9	2,877	8.85	1,480	9.03	1,397	8.67
10 - 14	4,428	13.62	2,293	13.99	2,135	13.24
15 - 17	2,396	7.37	1,260	7.69	1,136	7.04
18 - 21	2,656	8.17	1,287	7.85	1,370	8.50
22 - 35	5,673	17.45	2,840	17.33	2,833	17.57
36 - 45	3,352	10.31	1,660	10.13	1,692	10.49
46 - 59	2,923	8.99	1,442	8.80	1,481	9.18
60 & above	2,091	6.43	982	5.99	1,109	6.88
TOTAL	32,512	100.00	16,390	100.00	16,122	100.00
