Year	Country	City	Number of Examinees by Level	Number of Examinees by Level	Number of Examinees by Level	Number of Examinees by Level	Number of Examinees by Level
Year	Country	City	L1	L2	L3	L4	Total
2006	Kazakhstan	Almaty	50	98	135	91	374
2006	Russia	Khabarovsk	18	56	89	63	226
2006	Russia	Moscow	64	259	465	374	1,162
2006	Russia	Novosibirsk	12	61	115	82	270
2006	Russia	Vladivostok	23	92	105	85	305
2006	Russia	Yuzhno-Sakhalinsk	5	32	78	89	204
2006	Ukraine	Kiev	29	89	127	109	354
2006	Uzbekistan	Tashkent	61	111	145	88	405
2005	Kazakhstan	Almaty	28	43	68	25	164
2005	Russia	Moscow	48	197	316	287	848
2005	Russia	Vladivostok	23	56	97	55	231
2005	Ukraine	Kiev	27	63	120	54	284
2005	Uzbekistan	Tashkent	41	101	122	69	333
2004	Kazakhstan	Almaty	34	63	61	28	186
2004	Russia	Moscow	33	168	265	310	776
2004	Russia	Vladivostok	23	94	58	58	233
2003	Kazakhstan	Almaty	41	87	42	24	194
2003	Russia	Moscow	34	157	224	207	622
2003	Russia	Vladivostok	20	73	61	45	199
2002	Data missing	Data missing	Data missing	Data missing	Data missing	Data missing	Data missing
2001	Russia	Moscow	34	78	173	159	444
2001	Russia	Vladivostok	17	34	84	38	173
2000	Russia	Moscow	26	120	122	94	362
1999	Russia	Moscow	24	101	135	88	348
1998	Russia	Moscow	-	-	-	-	278
