Year	Single	US Chart position	Label	Catalogue No.
1942	"""Cow-Cow Boogie"""	9	Capitol	102
1942	"""Mr. Five by Five"""	10	Capitol	115
1943	"""Get On Board Little Chillun"""	17 (R&B)	Capitol	133
1943	"""Shoo Shoo Baby"""	4	Capitol	143
1944	"""No Love, No Nothin’"""	4	Capitol	143
1944	"""Tess' Torch Song"""	11	Capitol	151
1944	"""Milkman, Keep Those Bottles Quiet"""	7	Capitol	151
1944	"""The Patty Cake Man"""	10	Capitol	163
1945	"""Captain Kidd"""	17	Capitol	193
1946	"""Buzz Me"""	15	Capitol	226
1946	"""The House of Blue Lights"""	8 (R&B)	Capitol	251
1952	"""The Blacksmith Blues"""	3	Capitol	1922
1952	"""Oakie Boogie"""	23	Capitol	2072
1953	"""40 Cups of Coffee"""	26	Capitol	2539
