sr no	name of road	passes through - district (s	length (in km)	mdr no
1	nahan dadahul haripurdhar	sirmour	87.0	1
2	solan meenus (except state highway 6 portion)	sirmour / solan	98.0	2
3	banethi rajgarh chandol	sirmour	127.0	3
4	markanda bridge suketi park kala amb trilokpur	sirmour	21.5	4
5	kolar bilaspur	sirmour	13.0	5
6	parwanoo kasauli dharampur sabhathu solan	solan	65.32	6
7	barotiwala baddi sai ramshar	solan	44.95	7
8	kufri chail kandaghat	solan / shimla	57.0	8
9	solan barog kumarhatti	solan	13.0	9
10	dharampur kasauli	solan	10.5	10
11	arki dhundan bhararighat	solan	18.7	11
12	nalagarh dhabota bharatgarh	solan	9.4	12
13	shogi mehli junga sadhupul	shimla	49.4	13
14	mashobra bhekhalti	shimla	18.0	14
15	narkanda thanadhar kotgarh bithal	shimla	44.0	15
16	rampur mashnoo sarahan jeori	shimla	62.0	19
17	bakrot karsog (sanarli) sainj	mandi	41.8	21
18	salapper tattapani suni luhri	mandi / shimla	120.8	22
19	mandi kataula bajaura	mandi	51.0	23
20	mandi gagal chailchowk janjehli	mandi	45.8	24
21	chailchowk gohar pandoh	mandi	29.6	25
22	mandi rewalsar kalkhar	mandi	28.0	26
23	nore wazir bowli	kullu	37.0	28
24	kullu nagar manali (left bank)	kullu	39.4	29
25	jia manikarn	kullu	33.5	30
26	swarghat nainadevi bhakhra	bilaspur / una	55.7	31
27	nainadevi kaula da toba	bilaspur	12.2	32
28	bamta kandrour	bilaspur	6.7	33
29	nagaon beri	bilaspur / solan	37.0	34
30	hamirpur bhoranj jahu	hamirpur	30.0	35
31	nadaun sujanpur	hamirpur	21.0	36
32	barsar deothsidh	hamirpur	11.3	37
33	sujanpur sandhol marhi	hamirpur / mandi	45.0	38
35	una hoshiarpur bankhandi hoshairpur	una	15.0	40
36	tahliwal garhshankar (hp boundary)	una	8.0	41
37	bharwain chintpurni kandrori damtal	una / kangra	95.56	42
38	baijnath ladbharol kandapattan	kangra / mandi	33.0	43
39	gaggal chetru dharamshala mcleodganj	kangra	24.0	44
40	rait charhi dharamshala	kangra	20.0	45
41	kaloha pragpur dhaliara dadasiba sansarpur	kangra	60.92	46
42	kandwal damtal	kangra	16.5	47
43	dadh malan	kangra	4.0	48
44	banikhet dalhouse khajiar	chamba	29.0	49
45	chamba bharmour	chamba	45.0	52
